day;host;pedestrian_count
2017-02-27;6193;3104
2016-10-31;7060;106
2016-11-19;7119;1123
2016-11-27;7037;25801
2017-02-22;6185;10874
2016-10-16;7059;229
2016-11-08;7072;14051
2017-01-31;7054;867
2016-11-07;7075;3178
2016-10-15;6199;22
2016-12-19;7075;4388
2017-02-07;7058;58635
2017-02-05;7052;5639
2017-01-30;7123;24248
2017-02-26;7054;370
2017-01-26;6185;11126
2016-10-26;6182;7455
2017-01-20;6178;33
2017-02-13;7070;17171
2017-01-23;7058;65196
2017-02-21;6202;11381
2016-10-23;7037;16171
2016-11-10;6200;7652
2017-01-23;14172;42980
2016-11-10;7057;1428
2016-12-24;6198;3603
2016-11-15;6194;27740
2016-11-12;7119;630
2016-11-22;7119;985
2016-11-28;7044;63328
2016-12-08;7052;11830
2017-01-05;7038;10012
2016-10-23;7052;5710
2016-10-19;7047;9118
2017-03-01;6192;2696
2016-11-12;7058;52098
2016-11-02;6199;30
2016-12-29;7072;9778
2017-02-10;7037;18037
2016-11-21;6191;8811
2017-01-17;6194;27001
2017-01-31;6178;131
2016-12-15;7037;31288
2016-12-20;6202;13133
2017-01-26;7043;56386
2017-02-12;7124;3412
2016-12-29;7124;5207
2016-12-01;7048;1451
2017-02-07;7047;7597
2017-02-22;7038;10649
2017-02-05;7038;5158
2017-01-20;7038;11532
2016-11-04;7070;7507
2017-01-16;14172;45922
2017-03-07;7038;143
2017-02-27;7054;606
2017-03-06;7036;0
2016-12-05;7075;4024
2017-03-01;6180;2137
2017-03-07;7061;21
2016-10-14;6198;1557
2017-01-08;7051;51889
2016-11-24;7044;79381
2016-10-21;7052;11375
2016-12-10;7048;1146
2017-01-06;7069;1167
2016-11-15;7123;19419
2017-02-14;6185;10395
2016-12-27;7036;0
2016-11-13;7037;20526
2017-01-11;7043;58280
2016-12-18;6185;10839
2016-12-07;6191;7691
2016-11-18;6191;8688
2017-01-18;7070;14673
2016-12-20;7048;1091
2016-12-07;7057;1562
2017-01-01;6191;2854
2017-01-30;7075;5097
2017-01-14;6182;15213
2016-12-09;7048;1439
2017-01-09;7119;919
2017-02-15;6198;4182
2017-02-07;7076;32235
2017-01-02;6182;0
2016-10-26;7036;0
2016-10-24;7070;8747
2017-01-29;7053;5109
2017-01-08;6192;8732
2017-03-05;14172;2986
2016-10-11;7038;1827
2017-02-05;7047;6219
2016-12-24;6194;14287
2017-02-25;7119;929
2016-10-19;6201;5951
2016-12-06;7059;103
2017-01-02;6200;0
2017-01-08;6201;2681
2016-11-18;7060;298
2016-12-17;7059;95
2016-12-26;7123;20023
2017-03-06;6178;53
2017-02-08;7038;8963
2017-02-26;7058;47841
2017-02-25;6202;14353
2017-01-17;6180;14076
2016-10-31;6185;2248
2016-10-30;7044;42795
2016-11-11;7050;26380
2017-01-26;6201;4944
2016-11-05;6199;34
2016-12-07;6200;7969
2016-12-05;7051;100419
2016-10-30;7050;21480
2017-01-22;6178;17
2017-02-12;7057;854
2017-02-26;6198;3176
2016-12-20;6180;13493
2016-12-29;6201;3656
2016-12-26;7072;9073
2016-10-16;7124;2522
2016-10-28;6201;4972
2016-12-07;6178;211
2016-10-17;6199;53
2016-11-23;6185;11967
2016-10-30;7036;0
2016-12-10;7075;3913
2016-11-06;6198;3415
2016-10-30;7058;54538
2017-02-26;7037;18873
2017-01-19;7047;9579
2017-01-17;14172;47331
2016-12-02;7057;1752
2017-02-27;7072;6344
2016-12-29;7050;23686
2016-12-15;6185;11068
2016-11-07;6201;4744
2016-12-03;7051;87363
2016-11-20;7044;58855
2017-02-23;6194;26192
2017-01-12;7069;1041
2016-10-17;7059;232
2016-10-15;7123;14553
2016-11-22;6178;32
2016-11-29;7061;768
2017-01-29;7051;48322
2016-12-16;7054;1120
2016-11-13;6199;37
2016-12-17;6201;5308
2016-11-28;7060;326
2017-02-26;7036;0
2016-11-07;7040;5658
2016-11-17;7048;1362
2016-11-27;7069;725
2016-12-02;7038;11760
2016-12-20;7054;781
2017-02-09;7119;741
2016-11-08;6182;19706
2017-01-26;7049;9721
2016-12-27;6178;76
2017-01-13;6201;5843
2016-10-26;6178;7
2016-12-26;6180;8088
2016-11-29;14172;46950
2016-12-07;6184;81222
2016-12-08;7049;9517
2016-10-12;7058;43644
2017-02-19;6191;601
2016-10-20;7043;46518
2016-11-01;7057;1287
2016-12-28;6180;9738
2017-02-23;7124;8704
2016-10-28;6178;122
2017-02-03;6178;218
2017-02-15;7039;33113
2016-11-24;7053;12060
2016-11-29;7047;8980
2016-11-16;7070;15780
2016-12-01;7060;253
2016-11-18;14172;47158
2016-12-30;6177;5222
2017-03-04;7039;5963
2016-11-27;6180;7565
2016-12-03;7124;5716
2017-03-04;7119;96
2016-10-30;6182;17328
2017-01-18;6180;13014
2016-12-06;6198;3944
2016-10-11;7040;1365
2017-01-20;7037;31610
2017-02-14;6200;6361
2017-02-15;6180;11283
2016-12-25;6180;5433
2016-12-24;7047;5468
2016-11-17;7036;0
2017-02-12;7052;5198
2016-11-03;6194;27304
2016-11-27;6202;9911
2017-01-26;7052;11494
2016-11-21;7036;0
2016-11-09;7050;26507
2016-10-18;7053;7349
2016-11-12;6193;4180
2016-10-26;7072;4290
2016-12-29;7048;1018
2017-01-16;7069;1508
2017-01-03;7037;2030
2017-01-04;7059;148
2017-03-02;7075;317
2016-11-25;7036;0
2016-12-08;6184;78127
2016-10-16;7053;2815
2017-01-10;7076;48813
2016-10-16;7060;166
2016-12-08;7036;0
2016-10-14;6182;7717
2017-01-31;7119;951
2017-01-05;7047;7584
2016-11-23;7061;576
2016-12-13;6191;8780
2016-11-21;7048;1390
2016-11-23;6193;6009
2016-11-16;7061;602
2017-01-01;7076;17658
2017-02-14;7070;17317
2016-11-15;6180;9259
2016-12-08;7119;1089
2017-01-02;7123;0
2016-10-14;6191;4631
2016-12-23;7119;755
2017-02-20;6178;145
2017-01-22;7044;48677
2017-02-21;6184;78443
2017-01-23;7070;13886
2016-12-25;7037;15087
2017-02-13;6201;4663
2017-02-02;7048;1290
2016-10-15;7048;639
2016-11-18;6178;125
2016-10-21;7076;43747
2016-12-03;6202;12956
2016-12-29;6198;3338
2017-01-04;7070;12064
2016-12-06;7070;18253
2016-12-11;6201;3805
2016-11-28;6177;8437
2016-12-04;6182;14544
2016-12-22;7049;6864
2016-12-11;7047;6783
2016-12-28;6191;6388
2017-01-02;6177;0
2017-03-07;7123;48627
2016-11-29;7036;0
2017-02-18;7060;352
2017-01-21;6191;6341
2017-02-08;6193;3556
2016-10-22;6193;5099
2016-11-26;7053;7301
2016-11-21;6194;25075
2016-12-28;7059;85
2016-10-27;7075;1747
2017-01-18;6202;16202
2017-01-22;7043;39742
2016-12-23;7060;315
2017-02-02;6193;4184
2016-12-01;7053;11900
2016-12-26;7043;43159
2017-01-16;6193;4946
2016-11-02;7050;28073
2016-12-29;6185;9202
2016-11-19;7076;40478
2017-02-27;6177;6641
2016-12-26;7124;5864
2017-02-09;7038;8668
2017-02-20;6194;23415
2016-12-14;6178;47
2016-11-09;7039;38637
2017-02-06;7060;286
2016-12-20;7043;51860
2017-02-15;7061;848
2017-02-24;7053;8930
2017-02-10;7048;1103
2017-02-07;6191;2800
2016-12-05;6199;35
2016-12-22;7051;80315
2017-03-05;7048;85
2016-11-22;7039;36681
2016-12-30;7049;6065
2016-12-26;7036;0
2017-01-21;6193;5869
2017-01-14;7069;822
2017-02-02;7076;45192
2016-12-12;6191;8185
2016-11-28;7054;1045
2016-11-12;7043;39109
2016-11-22;6182;15139
2017-01-24;6191;8205
2016-10-18;7044;55772
2017-02-22;6198;4119
2016-11-14;7070;16546
2016-11-24;6199;13
2016-10-26;7060;66
2017-01-30;7051;88230
2016-12-17;7050;30347
2016-11-13;7070;9200
2016-12-01;6198;4496
2017-01-23;7119;860
2016-11-13;7054;410
2016-12-15;6191;7993
2016-11-19;14172;38951
2016-11-24;7057;1693
2017-03-05;6178;53
2017-02-28;7040;2482
2016-10-30;7069;201
2016-10-28;7119;789
2017-02-05;7124;5008
2017-01-08;6184;54277
2016-11-02;6178;111
2017-03-05;7070;569
2017-01-07;7051;57966
2016-10-27;7049;6097
2016-11-05;7059;191
2016-11-01;7054;272
2016-11-16;6184;76717
2017-01-11;7037;23337
2016-11-28;7059;115
2016-11-17;7124;7004
2016-12-08;7057;1631
2017-03-03;6200;426
2017-01-12;6192;22316
2016-12-23;6198;3792
2016-11-27;7050;22272
2016-10-24;7124;6376
2017-03-07;7076;5463
2016-12-27;6182;17896
2017-02-07;6198;2968
2017-01-13;7038;10929
2016-11-07;7037;17731
2017-01-28;7072;10261
2016-11-11;7044;56890
2017-02-14;6184;69853
2016-10-11;6201;1162
2017-03-02;7123;92258
2017-01-08;6198;2532
2016-10-24;7076;40304
2016-11-28;7058;70956
2017-01-12;7058;70199
2016-11-13;7039;14879
2017-03-04;7076;8525
2017-02-02;7049;9377
2016-12-31;6182;11969
2017-03-05;6182;39377
2016-10-17;6184;34720
2016-10-17;7051;56409
2017-01-22;7052;6474
2017-02-28;7069;153
2017-02-14;7051;89863
2016-11-26;7072;11612
2016-10-20;7048;1145
2017-03-04;7054;35
2016-12-22;7037;19567
2016-10-11;7054;62
2016-12-18;7037;19349
2017-03-05;7043;12530
2017-03-07;7052;0
2016-11-25;6193;5300
2017-02-04;7044;53320
2016-12-08;6201;5124
2017-03-04;6185;334
2016-12-17;6193;7385
2017-01-02;6184;0
2016-12-27;7124;6049
2016-12-19;7039;29868
2017-01-08;7044;56599
2016-11-20;7059;181
2017-01-20;7072;11647
2016-12-06;14172;43362
2017-02-03;6184;73299
2016-12-28;7058;59494
2016-11-24;6192;21625
2016-11-18;7069;896
2017-03-03;6180;1255
2016-12-04;7050;23832
2017-01-03;6184;5601
2016-11-29;6180;13472
2017-02-15;6177;6985
2017-02-15;7057;1425
2017-01-16;6178;48
2016-11-10;7044;67741
2016-11-02;7048;1064
2017-01-27;6180;13649
2017-01-16;6177;7339
2017-01-11;7059;131
2016-11-05;7039;24469
2017-01-10;7053;12322
2016-11-14;7119;783
2016-12-13;6185;10982
2016-12-17;7076;44850
2016-11-04;7049;6166
2016-11-11;7053;5658
2016-12-29;7043;43801
2017-02-22;6192;21322
2016-11-22;6199;26
2017-02-02;6177;8070
2017-01-24;7050;29670
2017-02-01;7069;1566
2016-10-18;6178;1026
2016-12-02;7036;0
2017-01-14;7038;6202
2016-10-24;7069;382
2017-02-19;7050;22829
2016-11-23;7037;24878
2016-10-11;7058;17475
2016-10-13;7123;27102
2017-01-24;6178;79
2017-01-29;6194;13835
2016-11-19;7058;67054
2017-01-11;14172;43488
2017-01-09;7059;188
2017-01-28;6184;79023
2016-12-09;7070;18752
2016-11-03;6192;21325
2016-10-25;7051;86659
2017-02-24;6194;21241
2016-12-23;6201;4205
2017-02-28;7053;744
2017-01-03;6177;293
2016-12-25;6185;7380
2016-11-03;6202;17714
2017-01-21;7061;572
2017-01-10;7070;11001
2016-11-01;7072;9186
2016-11-19;7037;27871
2016-11-27;7040;3267
2017-02-01;6202;11550
2017-02-28;6192;3906
2016-12-17;7057;1695
2016-10-23;7075;1753
2017-02-27;7047;5372
2017-02-27;6178;317
2016-12-29;7044;55243
2016-12-05;7069;850
2016-11-12;7124;4552
2017-03-06;7047;271
2017-02-12;6198;2336
2017-01-31;6199;32
2017-01-17;7069;1562
2016-12-20;14172;41485
2017-02-19;6192;10010
2017-01-27;7054;1028
2017-02-16;7039;30119
2017-01-30;7044;77155
2017-01-24;6200;6555
2016-11-10;7043;44959
2016-10-30;7057;1237
2017-02-03;6177;7512
2016-11-23;6180;10785
2017-02-20;6184;74338
2017-01-28;7054;779
2017-02-18;7069;1771
2017-01-14;6200;8012
2017-01-24;6202;10193
2016-10-28;6177;4559
2017-01-28;7070;13372
2017-02-16;6198;3346
2017-02-24;7070;9040
2017-01-07;7054;579
2017-02-03;7119;1091
2017-01-25;7057;1367
2017-01-06;6182;16794
2016-10-12;7050;15398
2016-11-14;6177;7164
2016-11-25;6199;32
2016-11-30;6177;8606
2016-11-24;7040;6502
2016-12-16;7052;12939
2016-11-08;6201;4613
2017-02-12;6177;4273
2017-02-07;7059;176
2017-02-28;6200;891
2017-02-27;7053;6913
2016-10-27;7057;1493
2016-12-27;7051;72019
2017-03-03;6191;19
2016-10-27;7040;6328
2016-12-09;7039;42057
2017-02-02;7051;93880
2016-10-28;7038;10357
2016-11-18;7049;10246
2016-11-14;6184;75634
2016-12-09;7052;12710
2017-02-09;6177;6290
2017-02-17;7061;662
2017-02-08;7054;842
2017-01-12;7119;708
2017-03-04;7058;17165
2016-11-06;7059;203
2016-10-11;6202;2598
2017-01-24;6185;11335
2016-11-26;6185;10969
2016-12-30;7059;103
2016-12-08;7072;12447
2017-01-23;6201;4268
2016-10-15;7069;276
2017-01-12;7052;11482
2017-01-07;7072;8647
2017-02-16;6178;253
2017-01-12;7050;30130
2016-10-26;7040;2141
2016-12-07;7052;11191
2016-12-03;7037;27858
2017-01-06;6180;13177
2016-10-13;7070;5789
2016-12-29;6199;15
2016-10-21;6194;27345
2017-01-05;6198;3514
2016-10-12;7043;26284
2016-11-06;7037;29528
2017-02-10;6180;7590
2016-11-14;7039;34891
2017-01-27;7057;1588
2017-01-09;6192;18993
2017-01-05;7053;10006
2016-10-15;7075;957
2017-01-05;6202;10573
2016-11-15;6177;7899
2017-02-19;6193;2138
2016-10-20;7069;454
2017-02-25;7052;6570
2016-12-20;7058;65414
2016-10-30;7054;312
2016-11-26;6194;22653
2017-01-27;6201;5557
2016-12-13;7076;52567
2017-03-01;7054;65
2017-01-10;6182;16582
2017-01-28;6201;5469
2017-01-02;14172;0
2016-12-04;7047;6813
2016-12-10;7076;43041
2016-10-22;7054;277
2016-12-07;7049;9902
2016-10-19;7057;1756
2017-02-27;7043;42020
2016-12-25;7049;2903
2017-02-25;7123;19565
2016-11-15;6198;4274
2017-02-15;7119;956
2016-11-24;7060;644
2016-12-19;7043;53885
2016-12-01;7043;58665
2016-12-09;7119;1081
2016-11-06;7050;21905
2016-10-15;7037;15669
2017-01-05;6178;119
2016-11-28;7070;18534
2016-11-23;7040;6170
2016-11-06;7060;152
2017-02-13;7038;8814
2017-02-24;7038;9729
2017-01-07;7050;23849
2017-01-13;7057;1653
2016-11-26;7044;74461
2016-11-21;7076;48526
2016-11-10;7049;6638
2017-01-12;7060;221
2016-12-27;6191;5456
2016-12-12;7053;10577
2017-03-02;6185;219
2016-12-28;7039;23488
2017-03-03;7048;46
2016-12-25;7072;4189
2017-02-19;6180;8218
2016-12-09;7036;0
2016-12-12;7054;805
2017-01-25;6193;4736
2017-02-07;7072;8325
2016-12-12;7052;10617
2016-11-03;7052;12264
2016-12-24;7036;0
2017-01-25;7061;501
2016-11-01;7124;4000
2016-12-22;6201;4781
2016-11-16;7036;0
2017-01-02;7039;0
2016-12-08;7075;4594
2017-02-05;7060;293
2016-10-20;6192;21901
2017-02-19;14172;26673
2017-03-04;7060;67
2016-10-16;6177;1878
2017-02-23;6198;3922
2017-01-21;7070;16369
2017-02-23;7048;1238
2017-02-13;7059;218
2017-01-31;6184;82420
2017-01-23;6199;20
2016-11-21;6202;10761
2017-01-09;6184;67897
2016-12-01;7058;77837
2016-10-24;7054;469
2016-11-05;6194;26158
2017-02-09;7039;29626
2016-12-08;7050;29144
2017-02-28;7076;7180
2017-02-21;6185;11574
2017-01-02;7051;0
2017-01-17;7076;46236
2017-02-03;6202;12078
